RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,start_date,end_date,host,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1309,Π,3,1028,Win,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
1,1309,Π,7,1028,Win,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
2,1294,Δ,3,1028,Win,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
2,1294,Δ,-5,1028,Loss,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
3,1344,Δ,1,1028,Win,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
3,1344,Δ,-5,1028,Loss,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
4,1345,Π,-4,1028,Loss,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
4,1345,Π,-7,1028,Loss,4,0,4,4.0,16.0,64.0,-7,9,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
1,1345,Π,16,1130,Win,4,0,4,4.0,16.0,64.0,24,5,Loyola University - Chicago,Loyola University - Chicago,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
1,1345,Π,19,1130,Win,4,0,4,4.0,16.0,64.0,24,5,Loyola University - Chicago,Loyola University - Chicago,False,False,False,False,,,,,,,,,,,,,,Hamilton Opening Round Championship Series Tournament,"March 14, 2014","March 16, 2014",Miami University,orcs,2014,,,,Kristofer Lyons,Melissa Pavely,Opening coin flip: Lowered Numbered Team Received the Better Rank,Round 3 coin flip: The Teams on the Right Side Became Prosecution,7th place record after round 3: 4 Wins
