RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,start_date,end_date,host,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1106,Π,1,1007,Win,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
1,1106,Π,-2,1007,Loss,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
2,1515,Δ,-12,1007,Loss,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
2,1515,Δ,2,1007,Win,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
3,1220,Δ,-9,1007,Loss,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
3,1220,Δ,11,1007,Win,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
4,1287,Π,-7,1007,Loss,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
4,1287,Π,3,1007,Win,4,0,4,4.0,16.0,64.0,-13,2,Eastern Kentucky University,Eastern Kentucky University,False,False,False,False,,,,,,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
1,1421,Δ,0,1046,Tie,1,1,6,1.5,6.0,24.0,-37,6,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Darby McCarthy 1046,Witness,19,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
1,1421,Δ,4,1046,Win,1,1,6,1.5,6.0,24.0,-37,6,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Darby McCarthy 1046,Witness,19,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
