RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,start_date,end_date,host,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1482,Δ,2,1028,Win,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
1,1482,Δ,-1,1028,Loss,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
2,1185,Π,0,1028,Tie,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
2,1185,Π,3,1028,Win,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
3,1285,Π,-9,1028,Loss,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
3,1285,Π,-2,1028,Loss,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
4,1216,Δ,-5,1028,Loss,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
4,1216,Δ,-4,1028,Loss,2,1,5,2.5,10.0,40.0,-16,22,Hillsdale College,Hillsdale College,False,False,False,False,,,,,,,,,,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
1,1637,Π,-5,1029,Loss,4,0,4,4.0,14.5,53.5,37,6,Hillsdale College,Hillsdale College,False,False,False,False,,Philip Hammersley 1029,Witness,18,Π,Shaun Lichti 1029,Witness,18,Δ,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
1,1637,Π,4,1029,Win,4,0,4,4.0,14.5,53.5,37,6,Hillsdale College,Hillsdale College,False,False,False,False,,Philip Hammersley 1029,Witness,18,Π,Shaun Lichti 1029,Witness,18,Δ,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
2,1378,Δ,-1,1029,Loss,4,0,4,4.0,14.5,53.5,37,6,Hillsdale College,Hillsdale College,False,False,False,False,,Philip Hammersley 1029,Witness,18,Π,Shaun Lichti 1029,Witness,18,Δ,,,,,"Notre Dame, Indiana Regional Tournament","February 22, 2014","February 23, 2014",University of Notre Dame,regionals,2014,,,,Frank Guliuzza,Sue Johnson,Opening coin flip: Heads (higher number is higher rank),Round 3 coin flip: Tails (right side State),9th place record after round 3: 4 wins
