RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1630,Π,-8,1003,Loss,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
1,1630,Π,-1,1003,Loss,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
2,1156,Δ,-8,1003,Loss,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
2,1156,Δ,4,1003,Win,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
3,1061,Δ,-9,1003,Loss,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
3,1061,Δ,5,1003,Win,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
4,1420,Π,5,1003,Win,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
4,1420,Π,-8,1003,Loss,3,0,5,3.0,12.0,48.0,-20,18,Brown University (3rd Team),Brown University (3rd Team),False,False,False,False,,,,,,,,,,,,,,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
1,1068,Δ,36,1021,Win,5,0,3,5.0,20.0,80.0,125,26,Columbia University,Columbia University,False,False,False,False,,Anthony Cruz,Witness,17,Δ,Rachel Sommers,Attorney,18,Δ,Nick Zurawski,Attorney,18,Δ,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
1,1068,Δ,29,1021,Win,5,0,3,5.0,20.0,80.0,125,26,Columbia University,Columbia University,False,False,False,False,,Anthony Cruz,Witness,17,Δ,Rachel Sommers,Attorney,18,Δ,Nick Zurawski,Attorney,18,Δ,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
2,1077,Π,-9,1021,Loss,5,0,3,5.0,20.0,80.0,125,26,Columbia University,Columbia University,False,False,False,False,,Anthony Cruz,Witness,17,Δ,Rachel Sommers,Attorney,18,Δ,Nick Zurawski,Attorney,18,Δ,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
2,1077,Π,-4,1021,Loss,5,0,3,5.0,20.0,80.0,125,26,Columbia University,Columbia University,False,False,False,False,,Anthony Cruz,Witness,17,Δ,Rachel Sommers,Attorney,18,Δ,Nick Zurawski,Attorney,18,Δ,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
3,1657,Π,5,1021,Win,5,0,3,5.0,20.0,80.0,125,26,Columbia University,Columbia University,False,False,False,False,,Anthony Cruz,Witness,17,Δ,Rachel Sommers,Attorney,18,Δ,Nick Zurawski,Attorney,18,Δ,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
3,1657,Π,-2,1021,Loss,5,0,3,5.0,20.0,80.0,125,26,Columbia University,Columbia University,False,False,False,False,,Anthony Cruz,Witness,17,Δ,Rachel Sommers,Attorney,18,Δ,Nick Zurawski,Attorney,18,Δ,,,,,"Central Islip, New York Regional Tournament",Suffolk Academy of Law,"Central Islip, New York","February 06, 2016","February 07, 2016",regionals,2016,Michael	Gelfand,Johnathan	Woodward,9th	place	after	round	3:	3.5	Wins
