RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1169,Π,-12,1066,Loss,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
1,1169,Π,-3,1066,Loss,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
2,1598,Δ,10,1066,Win,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
2,1598,Δ,20,1066,Win,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
3,1465,Δ,-1,1066,Loss,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
3,1465,Δ,5,1066,Win,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
4,1572,Π,3,1066,Win,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
4,1572,Π,-3,1066,Loss,4,0,4,4.0,16.0,64.0,19,1,University of Florida,University of Florida,False,False,False,False,,Joseph Velazquez,Attorney,17,Δ,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
1,1787,Π,3,1067,Win,5,1,2,5.5,19.0,70.0,66,17,University of Florida,University of Florida,False,False,False,False,,Michael Smith,Witness,19,Π,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
1,1787,Π,-1,1067,Loss,5,1,2,5.5,19.0,70.0,66,17,University of Florida,University of Florida,False,False,False,False,,Michael Smith,Witness,19,Π,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,"Columbia, SC","February 06, 2016","February 07, 2016",regionals,2016,Anna	Smith,Alyssa	Pronley,8th	place	after	round	3:	3.5	Wins
