RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1147,Δ,1,1018,Win,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
1,1147,Δ,2,1018,Win,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
2,1230,Π,-7,1018,Loss,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
2,1230,Π,-6,1018,Loss,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
3,1118,Δ,-3,1018,Loss,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
3,1118,Δ,-5,1018,Loss,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
4,1329,Π,36,1018,Win,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
4,1329,Π,15,1018,Win,4,0,4,4.0,16.0,64.0,33,7,Samford University,Samford University,False,False,False,False,,,,,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
1,1154,Δ,-17,1019,Loss,4,0,4,4.0,16.0,64.0,-35,18,Samford University,Samford University,False,False,False,False,,Anthony Sean Potter,Witness,17,Δ,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
1,1154,Δ,-8,1019,Loss,4,0,4,4.0,16.0,64.0,-35,18,Samford University,Samford University,False,False,False,False,,Anthony Sean Potter,Witness,17,Δ,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,"Louisville, Kentucky","February 26, 2016","February 28, 2016",regionals,2016,Daniel	Haughey,Patrick	Wixson,8th	place	after	round	3:	4	Wins
