RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0
1,1461,Π,8,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
1,1461,Π,21,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
2,1525,Δ,-15,1020,Loss,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
2,1525,Δ,15,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
3,1195,Δ,3,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
3,1195,Δ,2,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
4,1452,Π,8,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
4,1452,Π,7,1020,Win,7,0,1,7.0,28.0,112.0,49,16,Case Western Reserve University A,Case Western Reserve University A,False,False,False,False,,Anna Fair Matthes,Witness,20,P,Charles Graham,Attorney,20,P,Jordan Giles,Attorney,17,D,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
1,1450,Δ,-6,1021,Loss,4,0,4,4.0,16.0,64.0,1,12,Case Western Reserve University B,Case Western Reserve University B,False,False,False,False,,Emily Shiever,Witness,16,P,,,,,,,,,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
1,1450,Δ,-10,1021,Loss,4,0,4,4.0,16.0,64.0,1,12,Case Western Reserve University B,Case Western Reserve University B,False,False,False,False,,Emily Shiever,Witness,16,P,,,,,,,,,,,,,"Cleveland, Ohio Regional Tournament",Brandon Harper,the Cleveland Justice Center,"February 25, 2017","February 26, 2017",regionals,2017,"March 24, 2017","March 26, 2017","Hamilton, Ohio",Michael	Walsh,Michael	Nelson,8th	place	after	round	3:	4	Wins
