RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1286,Δ,-11,1001,Loss,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1286,Δ,1,1001,Win,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1335,Π,0,1001,Tie,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1335,Π,3,1001,Win,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1310,Π,-3,1001,Loss,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1310,Π,-4,1001,Loss,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1285,Δ,-12,1001,Loss,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1285,Δ,-4,1001,Loss,2,1,5,2.5,10.0,40.0,-30,2,Millsaps College A,Millsaps College A,False,False,False,False,,,,,,,,,,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1241,Π,0,1002,Tie,3,1,4,3.5,14.0,56.0,-2,23,Millsaps College B,Millsaps College B,False,False,False,False,,Ellie Hoeper,Witness,17,D,Samina Kassam University of Texas,Attorney,16,D,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1241,Π,-4,1002,Loss,3,1,4,3.5,14.0,56.0,-2,23,Millsaps College B,Millsaps College B,False,False,False,False,,Ellie Hoeper,Witness,17,D,Samina Kassam University of Texas,Attorney,16,D,,,,,"Memphis, TN Open Round Championship Series Tournament",Rhodes College,D'Army Bailey Courthouse,"March 23, 2018","March 25, 2018",orcs,2018,Adam Detsky,Michael Walsh,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
