RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1545,Π,3,1005,Win,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
1,1545,Π,-3,1005,Loss,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
2,1094,Δ,-6,1005,Loss,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
2,1094,Δ,-2,1005,Loss,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
3,1628,Π,2,1005,Win,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
3,1628,Π,24,1005,Win,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
4,1625,Δ,0,1005,Tie,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
4,1625,Δ,4,1005,Win,4,1,3,4.5,18.0,72.0,22,4,Arizona State University B,Arizona State University B,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
1,1628,Δ,16,1080,Win,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
1,1628,Δ,2,1080,Win,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
2,1709,Π,14,1080,Win,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
2,1709,Π,-5,1080,Loss,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
3,1582,Δ,-15,1080,Loss,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
3,1582,Δ,11,1080,Win,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
4,1237,Π,-5,1080,Loss,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
4,1237,Π,-12,1080,Loss,4,0,4,4.0,16.5,67.5,6,6,Fresno State University C,Fresno State University C,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
1,1237,Δ,-18,1081,Loss,2,1,5,2.5,11.5,51.0,-9,8,Fresno State University D,Fresno State University D,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
1,1237,Δ,-7,1081,Loss,2,1,5,2.5,11.5,51.0,-9,8,Fresno State University D,Fresno State University D,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
2,1404,Π,14,1081,Win,2,1,5,2.5,11.5,51.0,-9,8,Fresno State University D,Fresno State University D,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
2,1404,Π,19,1081,Win,2,1,5,2.5,11.5,51.0,-9,8,Fresno State University D,Fresno State University D,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
3,1394,Δ,-1,1081,Loss,2,1,5,2.5,11.5,51.0,-9,8,Fresno State University D,Fresno State University D,False,False,False,False,,,,,,,,,,,,,,"Claremont, California Regional Tournament 2018",Pomona College,Pomona College,"February 24, 2018","February 25, 2018",regionals,2018,Alex	Bluebond,Adam	Detsky,8th	place	after	round	3:	4	Wins
