RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1309,Π,-26,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1309,Π,-11,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1556,Δ,-13,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1556,Δ,-12,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1084,Δ,-8,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1084,Δ,5,1003,Win,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1126,Π,-9,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1126,Π,-2,1003,Loss,1,0,7,1.0,4.0,16.0,-76,23,Millsaps College C,Millsaps College C,False,False,False,False,,,,,,,,,,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1557,Δ,9,1076,Win,4,0,4,4.0,10.0,28.0,26,22,Austin College A,Austin College A,False,False,False,False,,Nico Rodriguez,Attorney,19,D,Nico Rodriguez,Attorney,17,P,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1557,Δ,4,1076,Win,4,0,4,4.0,10.0,28.0,26,22,Austin College A,Austin College A,False,False,False,False,,Nico Rodriguez,Attorney,19,D,Nico Rodriguez,Attorney,17,P,,,,,"Dallas, Texas Regional Tournament","University of Texas, Dallas","University of Texas, Dallas (Richardson, TX)","February 16, 2018","February 18, 2018",regionals,2018,Anneliese Mahoney,Josh Leckrone,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
