RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1128,Π,36,1035,Win,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
1,1128,Π,3,1035,Win,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
2,1523,Δ,23,1035,Win,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
2,1523,Δ,21,1035,Win,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
3,1055,Δ,-3,1035,Loss,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
3,1055,Δ,7,1035,Win,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
4,1165,Π,-7,1035,Loss,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
4,1165,Π,-2,1035,Loss,5,0,3,5.0,20.0,80.0,78,1,Yale University B,Yale University B,False,False,False,False,,James Pinchak,Witness,18,d,Ryan Bowman,Attorney,16,d,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
1,1269,Δ,21,1055,Win,7,0,1,7.0,28.0,112.0,81,7,Cornell University A,Cornell University A,False,False,False,False,,Megan Hardy,Witness,18,d,Miriam Li,Attorney,16,p,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
1,1269,Δ,9,1055,Win,7,0,1,7.0,28.0,112.0,81,7,Cornell University A,Cornell University A,False,False,False,False,,Megan Hardy,Witness,18,d,Miriam Li,Attorney,16,p,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
2,1246,Π,7,1055,Win,7,0,1,7.0,28.0,112.0,81,7,Cornell University A,Cornell University A,False,False,False,False,,Megan Hardy,Witness,18,d,Miriam Li,Attorney,16,p,,,,,,,,,"Princeton, New Jersey Regional Tournament 2018",Princeton University,Princeton University,"February 24, 2018","February 25, 2018",regionals,2018,Melissa	Pavely,Justin	Adin,8th	place	after	round	3:	4	Wins
