RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1551,Δ,-5,1009,Loss,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
1,1551,Δ,-6,1009,Loss,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
2,1220,Π,-8,1009,Loss,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
2,1220,Π,-8,1009,Loss,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
3,1346,Δ,16,1009,Win,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
3,1346,Δ,21,1009,Win,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
4,1644,Π,8,1009,Win,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
4,1644,Π,28,1009,Win,4,0,4,4.0,16.0,64.0,46,14,"University of Maryland, College Park A","University of Maryland, College Park A",False,False,False,False,,Andrew Kenney,Witness,18,D,George Zindel,Attorney,19,P,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
1,1346,Π,9,1012,Win,6,0,2,6.0,20.0,72.0,32,12,"University of Maryland, College Park D","University of Maryland, College Park D",False,False,False,False,,,,,,,,,,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
1,1346,Π,1,1012,Win,6,0,2,6.0,20.0,72.0,32,12,"University of Maryland, College Park D","University of Maryland, College Park D",False,False,False,False,,,,,,,,,,,,,,"Stevenson, Maryland Regional Tournament 2018","Univ. of Maryland, Baltimore County & Stevenson Univ.",Stevenson University,"February 24, 2018","February 25, 2018",regionals,2018,Diane	Michalak,Josh	Leckrone,8th	place	after	round	3:	4	Wins
