RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1694,Π,-6,1011,Loss,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1694,Π,0,1011,Tie,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1095,Δ,0,1011,Tie,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1095,Δ,8,1011,Win,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1396,Π,5,1011,Win,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1396,Π,-4,1011,Loss,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1616,Δ,-14,1011,Loss,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1616,Δ,-20,1011,Loss,2,2,4,3.0,12.0,48.0,-31,24,Loyola University-Chicago A,Loyola University-Chicago A,False,False,False,False,,,,,,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1239,Δ,1,1028,Win,4,0,4,4.0,16.0,64.0,-26,19,University of Central Missouri A,University of Central Missouri A,False,False,False,False,,Nicholas Hutsell,Attorney,18,∆,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1239,Δ,7,1028,Win,4,0,4,4.0,16.0,64.0,-26,19,University of Central Missouri A,University of Central Missouri A,False,False,False,False,,Nicholas Hutsell,Attorney,18,∆,,,,,,,,,,,,,"Cedar Rapids, Iowa Opening Round Championship Series",Cornell College,Kirkwood Conference Center & the Hotel Kirkwood,"March 08, 2019","March 10, 2019",orcs,2019,Matthew Eslick,Jacelyn Olson,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
