RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1092,Π,-29,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1092,Π,-46,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1459,Δ,-3,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1459,Δ,3,1042,Win,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1316,Π,-15,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1316,Π,-36,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1554,Δ,-33,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1554,Δ,-54,1042,Loss,1,0,7,1.0,4.0,16.0,-213,6,Coastal Carolina University A,Coastal Carolina University A,False,False,False,False,,,,,,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1042,Δ,29,1092,Win,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1042,Δ,46,1092,Win,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1544,Π,10,1092,Win,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1544,Π,21,1092,Win,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1523,Π,-6,1092,Loss,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1523,Π,-10,1092,Loss,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1158,Δ,16,1092,Win,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1158,Δ,18,1092,Win,6,0,2,6.0,24.0,96.0,124,18,University of Central Florida C,University of Central Florida C,False,False,False,False,,Phillip Wright,Witness,18,∆,Katherine Laurin,Witness,17,∏,Luis Lezcano,Attorney,18,∆,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1530,Δ,-6,1119,Loss,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1530,Δ,-25,1119,Loss,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1593,Π,28,1119,Win,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1593,Π,30,1119,Win,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1544,Π,16,1119,Win,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1544,Π,9,1119,Win,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1459,Δ,23,1119,Win,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1459,Δ,46,1119,Win,6,0,2,6.0,19.0,66.0,121,19,University of Florida C,University of Florida C,False,False,False,False,,Cody Davis,Witness,18,∆,,,,,,,,,"Columbia, South Carolina Regional Tournament",University of South Carolina,the USC School of Law,"February 09, 2019","February 10, 2019",regionals,2019,Ben Garmoe,James Boyce,8th place after round 3: 3.5 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
