RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0
1,1561,Δ,24,1008,Win,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
1,1561,Δ,-4,1008,Loss,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
2,1417,Π,29,1008,Win,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
2,1417,Π,12,1008,Win,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
3,1276,Δ,-5,1008,Loss,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
3,1276,Δ,0,1008,Tie,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
4,1368,Π,3,1008,Win,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
4,1368,Π,3,1008,Win,5,1,2,5.5,22.0,88.0,62,3,Texas A&M University A,Texas A&M University A,False,False,False,False,,Ashlyn Cooper,Witness,17,∏,Joanna Chan,Witness,16,∏,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
1,1528,Δ,-1,1009,Loss,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
1,1528,Δ,18,1009,Win,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
2,1684,Π,4,1009,Win,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
2,1684,Π,6,1009,Win,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
3,1728,Π,-10,1009,Loss,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
3,1728,Π,-10,1009,Loss,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
4,1446,Δ,-8,1009,Loss,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
4,1446,Δ,-3,1009,Loss,3,0,5,3.0,12.0,48.0,-4,8,Texas A&M University B,Texas A&M University B,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
1,1684,Δ,11,1087,Win,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
1,1684,Δ,9,1087,Win,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
2,1528,Π,-16,1087,Loss,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
2,1528,Π,-6,1087,Loss,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
3,1462,Π,-9,1087,Loss,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
3,1462,Π,-15,1087,Loss,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
4,1444,Δ,3,1087,Win,3,1,4,3.5,13.0,50.0,-23,13,Dillard University A,Dillard University A,False,False,False,False,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 22, 2019","February 24, 2019",regionals,2019,Alex	Bluebond,Elizabeth	Smiley,9th	place	after	round	3:	3.5	Wins
