RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1275,Π,6,1023,Win,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1275,Π,-6,1023,Loss,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1079,Δ,-3,1023,Loss,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1079,Δ,2,1023,Win,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1157,Π,4,1023,Win,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1157,Π,0,1023,Tie,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1156,Δ,-2,1023,Loss,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1156,Δ,2,1023,Win,4,1,3,4.5,18.0,72.0,3,5,Miami University C,Miami University C,False,False,False,False,,,,,,,,,,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1284,Δ,8,1024,Win,4,0,4,4.0,16.0,64.0,-1,7,Middle Tennessee State University A,Middle Tennessee State University A,False,False,False,False,,Jim Morton Middle Tennessee St. University,Witness,16,∏,Amanda Gold Middle Tennessee St. University,Witness,16,∆,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1284,Δ,6,1024,Win,4,0,4,4.0,16.0,64.0,-1,7,Middle Tennessee State University A,Middle Tennessee State University A,False,False,False,False,,Jim Morton Middle Tennessee St. University,Witness,16,∏,Amanda Gold Middle Tennessee St. University,Witness,16,∆,,,,,"Louisville, Kentucky Regional Tournament",Bellarmine University,the Jefferson County Hall of Justice,"February 22, 2019","February 24, 2019",regionals,2019,Joshua Leckrone,Kyle West,8th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
