RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,tab_note_0,tab_note_1
1,1098,Π,9,1032,Win,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1098,Π,4,1032,Win,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1384,Δ,-7,1032,Loss,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1384,Δ,1,1032,Win,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1263,Δ,3,1032,Win,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1263,Δ,11,1032,Win,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1372,Π,-13,1032,Loss,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1372,Π,-1,1032,Loss,5,0,3,5.0,20.0,80.0,7,29,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,Easton Banik Columbia Colleg,Attorney,18,∏,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1214,Π,-2,1033,Loss,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1214,Π,-12,1033,Loss,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1098,Δ,2,1033,Win,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1098,Δ,4,1033,Win,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1210,Π,14,1033,Win,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1210,Π,3,1033,Win,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1149,Δ,-12,1033,Loss,4,0,4,4.0,17.0,71.0,-14,31,Wheaton College B,Wheaton College B,False,False,False,False,,,,,,,,,,,,,,18th Annual Illinois State University Invitational Tournament,Illinois State University,"Bloomington-Normal, Illinois","November 08, 2019","November 10, 2019",invitationals,2020,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
