RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,name,host,location,start_date,end_date,level,year,tab_note_0,tab_note_1
1,1407,Δ,-11,1091,Loss,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1407,Δ,-5,1091,Loss,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1385,Π,47,1091,Win,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1385,Π,17,1091,Win,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1103,Δ,-4,1091,Loss,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1103,Δ,-9,1091,Loss,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1359,Π,5,1091,Win,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1359,Π,16,1091,Win,4,0,4,4.0,16.0,64.0,56,5,"SUNY, University at Albany A 7/15/2019","SUNY, University at Albany A 7/15/2019",False,False,False,False,,Divya Tulsiani ,Attorney,20,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1359,Π,-4,1095,Loss,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1359,Π,-6,1095,Loss,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1223,Δ,-25,1095,Loss,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1223,Δ,-16,1095,Loss,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1393,Π,16,1095,Win,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1393,Π,21,1095,Win,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1111,Δ,-2,1095,Loss,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1111,Δ,-2,1095,Loss,2,0,6,2.0,10.0,46.0,-18,19,Ithaca College A 7/16/2019,Ithaca College A 7/16/2019,False,False,False,False,,Spencer Miller ,Witness,17,Π,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1593,Π,-11,1096,Loss,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1593,Π,-2,1096,Loss,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1359,Δ,18,1096,Win,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1359,Δ,10,1096,Win,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1407,Δ,4,1096,Win,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1407,Δ,4,1096,Win,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1591,Π,-7,1096,Loss,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1591,Π,-12,1096,Loss,4,0,4,4.0,16.0,64.0,4,13,Ithaca College B,Ithaca College B,False,False,False,False,,Zachary Islam ,Witness,20,Δ,Luke Miller ,Attorney,20,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1189,Π,-19,1103,Loss,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1189,Π,-21,1103,Loss,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1465,Δ,4,1103,Win,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1465,Δ,5,1103,Win,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1091,Π,4,1103,Win,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1091,Π,9,1103,Win,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1593,Δ,0,1103,Tie,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1593,Δ,6,1103,Win,5,1,2,5.5,20.5,77.5,-12,6,St. Bonaventure University A 7/19/2019,St. Bonaventure University A 7/19/2019,False,False,False,False,,,,,,,,,,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1223,Π,-6,1111,Loss,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1223,Π,-7,1111,Loss,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1421,Δ,-26,1111,Loss,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1421,Δ,-11,1111,Loss,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1224,Δ,-4,1111,Loss,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1224,Δ,-4,1111,Loss,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1095,Π,2,1111,Win,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1095,Π,2,1111,Win,2,0,6,2.0,8.0,34.0,-54,20,College of Saint Rose A 7/23/2019,College of Saint Rose A 7/23/2019,False,False,False,False,,Lexus Coughlin ,Witness,19,Δ,Sara Derderian ,Witness,17,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1103,Δ,19,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1103,Δ,21,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1358,Π,-3,1189,Loss,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1358,Π,7,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1593,Π,5,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
3,1593,Π,8,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1590,Δ,7,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
4,1590,Δ,16,1189,Win,7,0,1,7.0,22.0,76.0,80,3,La Salle University A 8/7/2019,La Salle University A 8/7/2019,False,False,False,False,,Antonio Spinosi ,Witness,17,Π,Vincent Capitolo ,Attorney,19,Δ,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1111,Δ,6,1223,Win,6,0,2,6.0,15.0,56.0,27,14,Brandeis University A 8/12/2019,Brandeis University A 8/12/2019,False,False,False,False,,Scott Halper ,Witness,17,Δ,Scott Halper ,Attorney,18,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
1,1111,Δ,7,1223,Win,6,0,2,6.0,15.0,56.0,27,14,Brandeis University A 8/12/2019,Brandeis University A 8/12/2019,False,False,False,False,,Scott Halper ,Witness,17,Δ,Scott Halper ,Attorney,18,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1095,Π,25,1223,Win,6,0,2,6.0,15.0,56.0,27,14,Brandeis University A 8/12/2019,Brandeis University A 8/12/2019,False,False,False,False,,Scott Halper ,Witness,17,Δ,Scott Halper ,Attorney,18,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
2,1095,Π,16,1223,Win,6,0,2,6.0,15.0,56.0,27,14,Brandeis University A 8/12/2019,Brandeis University A 8/12/2019,False,False,False,False,,Scott Halper ,Witness,17,Δ,Scott Halper ,Attorney,18,Π,1,the University of Rochester,"Rochester, NY","November 02, 2019","November 03, 2019",invitationals,2020,3,Outstanding Trial Teams
