RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,Student4,Role4,Ranks4,Side4,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1233,Δ,0,1020,Tie,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1233,Δ,3,1020,Win,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1082,Π,-24,1020,Loss,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1082,Π,-11,1020,Loss,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1212,Δ,-23,1020,Loss,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1212,Δ,-7,1020,Loss,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1669,Π,11,1020,Win,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1669,Π,-2,1020,Loss,2,1,5,2.5,10.0,40.0,-53,20,Western Colorado University A 6/4/2019,Western Colorado University A 6/4/2019,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1442,Π,10,1072,Win,4,1,3,4.5,18.0,72.0,21,14,University of Arizona A 7/2/2019,University of Arizona A 7/2/2019,False,False,False,False,,Sara Porter University of Arizon,Witness,18,∏,Celyn Jacobs University of Arizon,Witness,17,∆,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1442,Π,0,1072,Tie,4,1,3,4.5,18.0,72.0,21,14,University of Arizona A 7/2/2019,University of Arizona A 7/2/2019,False,False,False,False,,Sara Porter University of Arizon,Witness,18,∏,Celyn Jacobs University of Arizon,Witness,17,∆,,,,,,,,,,,,,"Colorado Springs, Colorado Regional Tournament",Colorado College and the U.S. Air Force,Terry Harris Judicial Building,"February 21, 2020","February 23, 2020",regionals,2020,Adam Detsky,Kevin Solove,6th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
