RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1320,Π,5,1035,Win,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1320,Π,4,1035,Win,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1604,Δ,5,1035,Win,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1604,Δ,-3,1035,Loss,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1121,Π,1,1035,Win,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1121,Π,-3,1035,Loss,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1647,Δ,10,1035,Win,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1647,Δ,0,1035,Tie,5,1,2,5.5,22.0,88.0,19,12,"University of California, Davis B","University of California, Davis B",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1121,Δ,5,1036,Win,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1121,Δ,-10,1036,Loss,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1441,Π,-16,1036,Loss,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1441,Π,-1,1036,Loss,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1122,Π,3,1036,Win,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1122,Π,5,1036,Win,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1261,Δ,-17,1036,Loss,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1261,Δ,-2,1036,Loss,3,0,5,3.0,14.5,65.5,-33,14,"University of California, Davis C","University of California, Davis C",False,False,False,False,,,,,,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1494,Δ,22,1084,Win,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1494,Δ,41,1084,Win,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1260,Π,2,1084,Win,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1260,Π,-4,1084,Loss,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1261,Π,-3,1084,Loss,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1261,Π,-14,1084,Loss,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1102,Δ,17,1084,Win,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1102,Δ,1,1084,Win,5,0,3,5.0,18.0,68.5,62,11,"University of California, Irvine B","University of California, Irvine B",False,False,False,False,,Alysa Mo Fresno State Universit,Attorney,18,P,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1605,Δ,2,1086,Win,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1605,Δ,8,1086,Win,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1102,Π,-3,1086,Loss,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1102,Π,-8,1086,Loss,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1321,Π,-1,1086,Loss,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1321,Π,-10,1086,Loss,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1494,Δ,14,1086,Win,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1494,Δ,17,1086,Win,4,0,4,4.0,18.0,72.0,19,10,"University of California, Irvine D","University of California, Irvine D",False,False,False,False,,Melissa Toussimehr Cal Poly San Luis Obisp,Attorney,17,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1604,Π,2,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1604,Π,-1,1101,Loss,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1320,Δ,8,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1320,Δ,10,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1441,Π,11,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1441,Π,11,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1485,Δ,15,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1485,Δ,27,1101,Win,7,0,1,7.0,21.0,79.5,83,17,Stanford University A 7/19/2019,Stanford University A 7/19/2019,False,False,False,False,,Ayesha Pasha Stanford Universit,Witness,18,D,Azam Janmohamed Stanford Universit,Attorney,19,∆,Azam Janmohamed Stanford Universit,Attorney,18,∏,"Danny Kim University of California, Irvin",Attorney,19,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1724,Π,16,1102,Win,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1724,Π,11,1102,Win,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1086,Δ,3,1102,Win,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1086,Δ,8,1102,Win,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1260,Δ,-4,1102,Loss,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1260,Δ,11,1102,Win,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1084,Π,-17,1102,Loss,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1084,Π,-1,1102,Loss,5,0,3,5.0,20.0,78.0,27,8,Stanford University B,Stanford University B,False,False,False,False,,Malakeh Jaber Fresno State Universit,Attorney,18,D,,,,,,,,,,,,,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1036,Π,-5,1121,Loss,4,1,3,4.5,18.5,73.5,44,2,Fresno State University B,Fresno State University B,False,False,False,False,,Haile Kasiner Fresno State Universit,Witness,20,D,Malakeh Jaber Fresno State Universit,Witness,17,P,Elizabeth Grant Stanford Universit,Attorney,17,P,Josie Bianchi Stanford Universit,Attorney,17,D,"Fresno, California Regional Tournament",Fresno State University,"Fresno, California","February 22, 2020","February 23, 2020",regionals,2020,Ryan Nolte,Jacinth Sohi,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
