RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,Student4,Role4,Ranks4,Side4,Student5,Role5,Ranks5,Side5,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1287,Δ,-5,1017,Loss,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1287,Δ,-8,1017,Loss,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1254,Π,6,1017,Win,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1254,Π,-3,1017,Loss,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1248,Δ,18,1017,Win,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1248,Δ,25,1017,Win,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1198,Π,3,1017,Win,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1198,Π,3,1017,Win,5,0,3,5.0,20.0,80.0,39,18,Texas A&M University A 6/4/2019,Texas A&M University A 6/4/2019,False,False,False,False,,Lee Webb Texas A&M Universit,Attorney,18,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1254,Δ,-11,1018,Loss,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1254,Δ,0,1018,Tie,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1132,Π,7,1018,Win,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1132,Π,-11,1018,Loss,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1247,Δ,3,1018,Win,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1247,Δ,4,1018,Win,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1749,Π,-3,1018,Loss,3,1,4,3.5,15.5,66.5,-15,2,Texas A&M University B,Texas A&M University B,False,False,False,False,,David Lawless Texas A&M Universit,Witness,19,∆,,,,,,,,,,,,,,,,,,,,,"Houston, Texas Regional Tournament",University of St. Thomas,"Houston, Texas","February 08, 2020","February 09, 2020",regionals,2020,James Boyce,Steven Haspel,6th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
