RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1290,Δ,-5,1047,Loss,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1290,Δ,-4,1047,Loss,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1291,Π,10,1047,Win,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1291,Π,1,1047,Win,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1143,Π,-17,1047,Loss,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1143,Π,-9,1047,Loss,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1698,Δ,-5,1047,Loss,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1698,Δ,-1,1047,Loss,2,0,6,2.0,8.0,32.0,-30,9,Palm Beach Atlantic University A 6/17/2019,Palm Beach Atlantic University A 6/17/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1341,Π,11,1052,Win,6,0,2,6.0,20.0,68.0,51,11,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1341,Π,3,1052,Win,6,0,2,6.0,20.0,68.0,51,11,University of Florida A 6/24/2019,University of Florida A 6/24/2019,False,False,False,False,,,,,,,,,,,,,,"Orlando, Florida Regional Tournament",University of Central Florida,"Orlando, Florida","February 01, 2020","February 02, 2020",regionals,2020,Benjamine Garmoe,Angela Minor,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
