RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1679,Π,11,1172,Win,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1679,Π,-21,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1404,Δ,-7,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1404,Δ,-22,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1322,Δ,-38,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1322,Δ,-13,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1339,Π,-12,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1339,Π,-7,1172,Loss,1,0,7,1.0,4.0,16.0,-109,16,Temple University B,Temple University B,False,False,False,False,,,,,,,,,,,,,,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1304,Δ,8,1200,Win,6,0,2,6.0,24.0,96.0,20,2,University of Richmond A 8/8/2019,University of Richmond A 8/8/2019,False,False,False,False,,Aaqil Zakarya University of Richmon,Witness,16,∏,Aquilla Maliyekkal University of Richmon,Attorney,17,∏,Aquilla Maliyekkal University of Richmon,Attorney,17,∆,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1304,Δ,13,1200,Win,6,0,2,6.0,24.0,96.0,20,2,University of Richmond A 8/8/2019,University of Richmond A 8/8/2019,False,False,False,False,,Aaqil Zakarya University of Richmon,Witness,16,∏,Aquilla Maliyekkal University of Richmon,Attorney,17,∏,Aquilla Maliyekkal University of Richmon,Attorney,17,∆,,,,,"Richmond, Virginia Regional Tournament",University of Richmond,"Richmond, Virginia","February 08, 2020","February 09, 2020",regionals,2020,Brandon Harper,Erika Hyde,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
