RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
1,1453,Π,4,1010,Win,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1453,Π,18,1010,Win,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1040,Δ,-7,1010,Loss,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1040,Δ,6,1010,Win,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1032,Δ,-5,1010,Loss,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1032,Δ,16,1010,Win,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1033,Π,2,1010,Win,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1033,Π,-14,1010,Loss,5,0,3,5.0,20.0,80.0,20,10,Macalester College A 6/3/2019,Macalester College A 6/3/2019,False,False,False,False,,Alexandria Eggert Trinity Christian Colleg,Witness,18,∆,Will Davis Luther Colleg,Attorney,17,∏,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1369,Δ,0,1011,Tie,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1369,Δ,15,1011,Win,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1389,Π,12,1011,Win,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1389,Π,19,1011,Win,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1040,Π,7,1011,Win,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1040,Π,-4,1011,Loss,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1444,Δ,14,1011,Win,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1444,Δ,15,1011,Win,6,1,1,6.5,24.5,93.5,78,5,Macalester College B,Macalester College B,False,False,False,False,,,,,,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1374,Δ,-2,1032,Loss,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1374,Δ,-3,1032,Loss,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1098,Π,19,1032,Win,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1098,Π,26,1032,Win,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1010,Π,5,1032,Win,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1010,Π,-16,1032,Loss,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1041,Δ,9,1032,Win,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1041,Δ,17,1032,Win,5,0,3,5.0,20.0,80.0,55,9,Wheaton College A 6/11/2019,Wheaton College A 6/11/2019,False,False,False,False,,"Amber P Kelly University of Wisconsin, Plattevill",Witness,17,∆,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1040,Π,-6,1033,Loss,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
1,1040,Π,-11,1033,Loss,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1453,Δ,22,1033,Win,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
2,1453,Δ,22,1033,Win,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1444,Π,1,1033,Win,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
3,1444,Π,-9,1033,Loss,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
4,1010,Δ,-2,1033,Loss,4,0,4,4.0,21.5,84.5,31,8,Wheaton College B,Wheaton College B,False,False,False,False,,Zach Springer University of Iow,Attorney,19,∏,,,,,,,,,"Wheaton, Illinois Regional Tournament",Law Office of Brooks D. Locke,the DuPage County Judicial Center,"February 07, 2020","February 09, 2020",regionals,2020,Nick Teleky,Johnathan Woodward,7th place after round 3: 4 Wins,Opening coin flip: Tails - Lower # = Better Rank,Round 3 coin flip: Heads - Right Side is Defense
